customer_id,first_name,last_name,full_name,email,phone,gender,age,date_of_birth,address_street,address_city,address_state,address_postal_code,address_country,segment,total_orders,total_spend,average_order_value,registration_date,last_purchase_date,is_active,email_verified,phone_verified,preferences_newsletter,preferences_sms_notifications,preferences_preferred_language,preferences_preferred_currency,metadata_source,metadata_created_at,metadata_updated_at,_source_file,_loaded_at
CUS-00000001,Fatima,Rodriguez,Fatima Rodriguez,fatima.rodriguez844@gmail.com,,MALE,73,1953-02-16,2524 Hill Blvd,Berlin,,10115,Germany,Bronze,8,47427.16,2155.78,05-10-2021,2026-07-19,false,false,true,false,false,de,AUD,mobile_app,2021-05-10T00:00:00,2021-12-03T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000002,Susan,Davis,Susan Davis,susan.davis250@outlook.com,+1-585-973-2357,Female,63,1963-02-14,663 Elm Rd,Chicago,IL,60601,USA,BRONZE,85,14606.58,2086.65,2018-07-30,2023-09-22,false,true,,true,true,,EUR,social_media,2018-07-30T00:00:00,2019-09-24T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000003,Jessica,Brown,Jessica Brown,jessica.brown608@outlook.com,UNLISTED,F,69,1957-02-15,5068 River Ave,Paris,,75001,France,Platinum,62,34760.69,1158.69,12/05/2018,2021-03-19,true,true,true,true,true,es,USD,social_media,2018-05-12T00:00:00,2018-07-15T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000004,Robert,Williams,Robert Williams,robert.williams789@outlook.com,871.134.6967,female,59,1967-02-13,6920 River Dr,Los Angeles,CA,90001,USA,Bronze,180,19508.48,1625.71,2018-07-20,2023-12-20,true,false,false,true,false,fr,EUR,website,2018-07-20T00:00:00,2019-10-15T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000005,Robert,Davis,Robert Davis,robert.davis619@mail.com,,"",43,1983-02-09,646 Forest Ln,London,,SW1A 1AA,United Kingdom,Silver,152,36840.45,1023.35,05-14-2020,2025-05-09,no,true,false,false,true,de,AUD,,2020-05-14T00:00:00,2021-09-20T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000006,Fatima,Williams,Fatima Williams,fatima.williams850@company.com,4347845163,,53,1973-02-11,6829 Main Dr,Paris,,75001,France,VIP,188,-41084.28,,01-18-2018,2018-04-25,true,false,,true,false,,USD,mobile_app,2018-01-18T00:00:00,2019-05-06T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000007,Richard,Patel,Richard Patel,richard.patel182@outlook.com,UNLISTED,M,26,2000-02-05,1990 Main Ave,Paris,,75001,France,Silver,17,8237.17,164.74,08-30-2022,2024-05-24,true,true,false,false,true,ja,,partner,2022-08-30T00:00:00,2023-04-25T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000008,Thomas,Brown,Thomas Brown,thomas.brown685@company.com,835.923.2415,,73,1953-02-16,6594 Park Ave,Chicago,IL,60601,USA,VIP,49,37877.85,946.95,2023-11-09T00:00:00,2026-01-14,false,true,,false,false,de,GBP,,2023-11-09T00:00:00,2024-05-15T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000009,Michael,Johnson,Michael Johnson,,,Prefer not to say,22,2004-02-04,5195 Park Rd,Toronto,ON,M5V 2H1,Canada,Bronze,138,27701.57,989.34,04-18-2024,2024-12-19,true,true,true,false,true,zh,GBP,social_media,2024-04-18T00:00:00,2024-07-05T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000010,William,Chen,William Chen,william.chen77@company.com,928.195.3251,,53,1973-02-11,8869 Oak Ln,Los Angeles,CA,90001,USA,Gold,141,6230.16,168.38,1548370800,2019-07-05,1,false,true,false,true,fr,JPY,website,2019-01-25T00:00:00,2019-12-27T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000011,David,Rodriguez,David Rodriguez,david.rodriguez141@gmail.com,+1-688-143-8687,Prefer not to say,34,1992-02-07,8351 Park Blvd,Berlin,,10115,Germany,Silver,2,43341.28,985.03,1574290800,2021-02-10,1,true,false,true,true,de,EUR,partner,2019-11-21T00:00:00,2020-10-27T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000012,Richard,Miller,Richard Miller,richard.miller300@mail.com,+1-494-375-5080,Male,49,1977-02-10,3783 Park Ln,Los Angeles,CA,90001,USA,VIP,12,6453.14,137.3,2022-07-20,2023-03-22,yes,true,true,false,true,ja,USD,,2022-07-20T00:00:00,2022-11-04T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000013,Hans,Brown,Hans Brown,hans.brown424@gmail.com,UNLISTED,MALE,24,2002-02-04,7596 Elm St,Chicago,IL,60601,USA,Platinum,16,42912.77,894.02,2020-04-26T00:00:00,2025-08-21,1,true,false,true,false,es,GBP,referral,2020-04-26T00:00:00,2020-07-25T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000014,Susan,Smith,Susan Smith,susan.smith805@company.com,3645914613,"",65,1961-02-14,1620 Lake Ln,Chicago,IL,60601,USA,Silver,133,49325.33,2466.27,2018-03-12T00:00:00,2019-01-02,true,true,,true,true,fr,GBP,mobile_app,2018-03-12T00:00:00,2019-04-03T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000015,Yuki,Patel,Yuki Patel,yuki.patel589@mail.com,+1-741-103-3442,FEMALE,63,1963-02-14,3216 Park Rd,Paris,,75001,France,Gold,12,10013.36,455.15,10-07-2022,2026-02-20,no,true,,false,false,es,JPY,partner,2022-10-07T00:00:00,2022-10-15T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000016,Hans,Williams,Hans Williams,hans.williams579@gmail.com,(305) 797-9987,F,44,1982-02-09,1947 Oak Rd,Berlin,,10115,Germany,Bronze,154,20486.45,585.33,01/02/2019,2024-01-28,true,false,,false,true,zh,,,2019-02-01T00:00:00,2020-02-09T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000017,James,Dubois,James Dubois,james.dubois815@yahoo.com,+1-789-384-1001,male,44,1982-02-09,7551 Main Ln,Los Angeles,CA,90001,USA,Bronze,116,41124.59,2741.64,1717020000,2025-06-01,true,true,true,true,false,zh,,referral,2024-05-30T00:00:00,2025-07-31T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000018,Yuki,Tanaka,Yuki Tanaka,N/A,4161743518,M,60,1966-02-13,9737 Park Blvd,Los Angeles,CA,90001,USA,Silver,109,35699.17,2974.93,1668553200,2025-11-07,no,false,false,false,true,zh,,website,2022-11-16T00:00:00,2023-02-24T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000019,Richard,Martinez,Richard Martinez,richard.martinez792@company.com,+1-911-229-1881,Female,48,1978-02-10,5557 Oak Rd,Toronto,ON,M5V 2H1,Canada,VIP,67,12062.12,548.28,1578351600,2023-01-24,true,true,true,false,false,,,mobile_app,2020-01-07T00:00:00,2020-03-18T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000020,Fatima,Davis,Fatima Davis,fatima.davis531@gmail.com,UNLISTED,,30,1996-02-06,6088 Main Ln,New York,NY,10001,USA,Bronze,192,40408.21,1036.11,2018-05-05,2019-05-29,true,false,false,false,true,,AUD,,2018-05-05T00:00:00,2018-09-30T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000021,Carlos,Martinez,Carlos Martinez,carlos.martinez164@outlook.com,354.279.5734,Female,62,1964-02-14,5923 Lake Dr,Tokyo,,100-0001,Japan,Bronze,39,2255.11,86.73,2023-04-05T00:00:00,2028-03-23,false,true,false,true,false,ja,EUR,referral,2023-04-05T00:00:00,2023-10-11T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000022,Yuki,Johnson,Yuki Johnson,yuki.johnson318@outlook.com,,,85,1941-02-19,8672 Main Rd,Toronto,ON,M5V 2H1,Canada,silver,161,13427.14,285.68,01-27-2020,2022-04-08,true,false,false,true,true,de,CAD,mobile_app,2020-01-27T00:00:00,2020-10-23T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000023,Wei,Williams,Wei Williams,wei.williams275@company.com,UNLISTED,Prefer not to say,55,1971-02-12,6388 Elm Rd,Chicago,IL,60601,USA,VIP,193,48040.64,2001.69,02-17-2022,2022-05-11,true,true,false,true,false,fr,AUD,,2022-02-17T00:00:00,2022-05-23T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000024,Elizabeth,Miller,Elizabeth Miller,elizabeth.miller685@gmail.com,,male,25,2001-02-04,3913 Park Ave,Chicago,IL,60601,USA,Gold,54,30524.26,622.94,02-02-2021,2022-12-30,false,false,,false,true,de,CAD,mobile_app,2021-02-02T00:00:00,2022-03-22T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000025,Robert,Brown,Robert Brown,robert.brown97@gmail.com,7043213207,female,81,1945-02-18,6379 Oak Blvd,Berlin,,10115,Germany,Bronze,129,36181.87,1340.07,1594591200,2023-12-18,true,true,true,true,true,,USD,partner,2020-07-13T00:00:00,2020-09-05T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000026,David,Tanaka,David Tanaka,david.tanaka563@gmail.com,+1-586-441-8737,Other,85,1941-02-19,4700 Oak Dr,Amsterdam,,1012 AB,Netherlands,Platinum,75,6739.62,449.31,25/05/2020,2020-10-17,yes,false,false,true,true,,JPY,mobile_app,2020-05-25T00:00:00,2020-08-20T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000027,Ahmed,Garcia,Ahmed Garcia,ahmed.garcia622@yahoo.com,3336329783,Female,84,1942-02-19,2111 Hill St,New York,NY,10001,USA,Bronze,11,24644.16,1895.7,2022-02-11,2026-07-19,false,false,false,false,true,,,website,2022-02-11T00:00:00,2022-08-27T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000028,Robert,Mueller,Robert Mueller,robert.mueller329@gmail.com,6466852782,,32,1994-02-06,82 Forest Ave,Sydney,NSW,2000,Australia,VIP,88,10582.39,529.12,05/10/2022,2026-12-18,no,true,false,true,true,es,CAD,referral,2022-10-05T00:00:00,2023-08-15T00:00:00,customers.json,2026-02-10T22:25:28.068809
CUS-00000029,Marie,Brown,Marie Brown,marie.brown105@gmail.com,496.392.3978,Prefer not to say,55,1971-02-12,9907 Forest St,Amsterdam,,1012 AB,Netherlands,Platinum,134,31207.59,1642.5,10/11/2019,2023-01-25,0,false,,true,true,fr,AUD,website,2019-11-10T00:00:00,2020-04-08T00:00:00,customers.json,2026-02-10T22:25:28.068809
