customer_id,full_name,segment,total_spend,total_orders,return_count,total_revenue,gross_revenue,return_amount,avg_order_value,first_purchase,last_purchase,days_since_last_purchase,customer_tenure_months,purchase_frequency,customer_lifetime_value,customer_segment_score,recency_score,frequency_score,monetary_score
CUS-00000358,Jennifer Jones,gold,5370.02,5,0,13522.4,13522.4,0.0,2704.48,2022-01-17,2024-12-06,432,17,0.29411766,9545.223529411764,2.90,1,3,5
CUS-00000607,Joseph Tanaka,VIP,10102.63,12,0,30290.699999999993,30290.699999999993,0.0,2524.2249999999995,2022-01-17,2024-10-11,488,61,0.19672132,5958.826229508195,3.60,1,5,5
CUS-00000726,Jennifer Williams,Bronze,6578.64,6,0,14988.66,14988.66,0.0,2498.11,2022-11-18,2024-08-26,534,66,0.09090909,2725.210909090909,3.25,1,4,5
CUS-00000184,James Williams,Bronze,24810.52,7,0,30585.739999999998,30585.739999999998,0.0,4369.391428571428,2022-03-19,2024-11-16,452,82,0.085365854,4475.961951219512,3.25,1,4,5
CUS-00000246,Michael Miller,VIP,43841.57,5,0,11163.39,11163.39,0.0,2232.678,2022-11-05,2024-11-05,463,63,0.07936508,2126.3599999999997,2.90,1,3,5
CUS-00000670,Yuki Miller,Platinum,37137.86,7,1,13206.240000000002,17755.4,-4549.16,1886.6057142857146,2022-06-20,2024-11-13,455,92,0.07608695,1722.5530434782609,3.25,1,4,5
CUS-00000055,Barbara Patel,Platinum,17694.03,5,0,11500.680000000002,11500.680000000002,0.0,2300.1360000000004,2022-09-02,2024-11-05,463,39,0.12820514,3538.67076923077,2.90,1,3,5
CUS-00000415,Sarah Williams,Silver,33154.36,6,1,5729.460000000001,14096.060000000001,-8366.6,954.9100000000002,2022-09-17,2024-11-16,452,77,0.077922076,892.9028571428572,3.25,1,4,5
CUS-00000594,Priya Anderson,Bronze,27548.93,3,1,4450.129999999999,5428.0199999999995,-977.89,1483.3766666666663,2024-01-28,2024-06-18,603,50,0.06,1068.0312,2.90,1,3,5
CUS-00000953,Emma Dubois,Bronze,8467.17,3,1,3486.28,7076.51,-3590.23,1162.0933333333335,2022-05-13,2023-10-22,843,65,0.046153847,643.6209230769231,2.90,1,3,5
CUS-00000274,Ahmed Rodriguez,Platinum,3983.96,2,0,8998.98,8998.98,0.0,4499.49,2022-05-31,2022-12-08,1161,67,0.029850746,1611.7576119402984,2.55,1,2,5
CUS-00000143,Sarah Silva,VIP,19254.93,5,0,12512.400000000001,12512.400000000001,0.0,2502.4800000000005,2023-03-16,2024-10-20,479,94,0.05319149,1597.3276595744683,2.90,1,3,5
CUS-00000079,Priya Jones,Silver,46060.81,7,0,16768.22,16768.22,0.0,2395.46,2022-01-05,2024-05-14,638,57,0.12280702,3530.1515789473688,3.25,1,4,5
CUS-00000568,Ahmed Chen,Platinum,6062.59,9,0,17773.46,17773.46,0.0,1974.8288888888887,2022-01-27,2024-11-20,448,90,0.1,2369.7946666666667,3.25,1,4,5
CUS-00000866,Robert Tanaka,Bronze,9814.94,5,0,14994.130000000001,14994.130000000001,0.0,2998.826,2023-01-23,2024-07-14,577,61,0.08196721,2949.664918032787,2.90,1,3,5
CUS-00000751,Christopher Mueller,VIP,12630.84,5,0,20085.340000000004,20085.340000000004,0.0,4017.0680000000007,2022-05-16,2024-04-10,672,97,0.05154639,2484.7843298969074,2.90,1,3,5
CUS-00000126,Richard Brown,Gold,43698.56,6,0,16301.41,16301.41,0.0,2716.9016666666666,2022-01-16,2023-06-29,958,69,0.08695652,2835.0278260869563,3.25,1,4,5
CUS-00000731,Linda Garcia,SILVER,15382.49,11,2,9061.26,14824.119999999999,-5762.86,823.7509090909091,2022-01-31,2023-11-24,810,44,0.25,2471.2527272727275,3.60,1,5,5
CUS-00000543,William Chen,Gold,25802.64,9,1,16665.170000000002,16688.250000000004,-23.08,1851.6855555555558,2022-01-10,2024-01-28,745,18,0.5,11110.113333333335,3.25,1,4,5
CUS-00000809,Linda Kim,Bronze,11943.73,6,0,26504.320000000003,26504.320000000003,0.0,4417.386666666667,2022-02-01,2024-08-05,555,78,0.07692308,4077.587692307693,3.25,1,4,5
CUS-00000310,Jennifer Silva,Gold,2321.5,4,0,12296.600000000002,12296.600000000002,0.0,3074.1500000000005,2022-04-25,2024-10-09,490,48,0.083333336,3074.1500000000005,2.90,1,3,5
CUS-00000367,David Smith,Platinum,8221.31,6,0,17127.53,17127.53,0.0,2854.588333333333,2022-06-11,2024-12-14,424,93,0.06451613,2210.003870967742,3.25,1,4,5
CUS-00000340,Mary Jones,Bronze,21596.25,5,0,20374.52,20374.52,0.0,4074.904,2022-09-06,2024-11-05,463,29,0.1724138,8430.835862068965,2.90,1,3,5
CUS-00000897,Christopher Wang,VIP,27066.91,3,0,6640.039999999999,6640.039999999999,0.0,2213.3466666666664,2023-12-13,2024-08-25,535,27,0.11111111,2951.1288888888885,2.90,1,3,5
CUS-00000131,Priya Tanaka,Bronze,28804.88,5,0,10736.43,10736.43,0.0,2147.286,2022-02-23,2024-10-28,471,44,0.11363637,2928.117272727273,2.90,1,3,5
CUS-00000092,John Williams,Gold,12034.46,6,0,17687.510000000002,17687.510000000002,0.0,2947.9183333333335,2022-03-20,2024-04-26,656,61,0.09836066,3479.5101639344266,3.25,1,4,5
