customer_id,full_name,first_name,last_name,email,phone,gender,age,date_of_birth,address_street,address_city,address_state,address_postal_code,address_country,segment,total_spend,registration_date,last_purchase_date,is_active,email_verified,phone_verified,preferences_newsletter,preferences_sms_notifications,preferences_preferred_language,preferences_preferred_currency,metadata_source,total_orders,average_order_value,metadata_created_at,metadata_updated_at,source_file,loaded_at
CUS-00000131,Priya Tanaka,Priya,Tanaka,priya.tanaka600@company.com,7518681338,female,34,1992-02-07,5037 Elm Ln,Chicago,IL,60601,USA,Bronze,28804.88,2022-06-05,2023-10-27,false,false,true,true,false,,AUD,website,81,1252.39,2022-06-05,2023-08-17,customers.json,2026-02-10T22:25:28.068809
CUS-00000881,Sarah Brown,Sarah,Brown,sarah.brown357@company.com,18507174860,male,62,1964-02-14,7598 Elm Ln,Tokyo,,100-0001,Japan,Gold,1572.51,2023-10-17,2025-05-31,true,true,true,false,false,de,JPY,,40,58.24,2023-10-17,2024-05-31,customers.json,2026-02-10T22:25:28.068809
CUS-00000865,Elizabeth Chen,Elizabeth,Chen,elizabeth.chen756@company.com,2995115005,male,25,2001-02-04,3062 River St,London,,SW1A 1AA,United Kingdom,Platinum,36743.1,2020-09-19,2022-11-05,true,false,true,false,false,en,AUD,referral,117,781.77,2020-09-19,2021-09-18,customers.json,2026-02-10T22:25:28.068809
CUS-00000263,Joseph Miller,Joseph,Miller,joseph.miller177@outlook.com,UNLISTED,prefer not to say,34,1992-02-07,80 Lake Rd,New York,NY,10001,USA,VIP,6928.48,2020-09-16,2022-09-11,false,false,true,false,true,en,EUR,social_media,6,161.13,2020-09-16,2021-07-18,customers.json,2026-02-10T22:25:28.068809
CUS-00000736,Patricia Johnson,Patricia,Johnson,patricia.johnson300@gmail.com,UNLISTED,f,82,1944-02-19,9857 Main Dr,Los Angeles,CA,90001,USA,Platinum,22149.97,2019-07-06,2021-04-24,true,false,false,false,true,ja,USD,,25,503.41,2019-07-06,2019-10-12,customers.json,2026-02-10T22:25:28.068809
CUS-00000180,James Tanaka,James,Tanaka,james.tanaka702@mail.com,6155013169,f,51,1975-02-11,5343 Hill Ln,Amsterdam,,1012 AB,Netherlands,platinum,37882.63,2019-05-07,2020-06-08,false,false,true,true,true,en,CAD,,167,3156.89,2019-05-07,2019-10-05,customers.json,2026-02-10T22:25:28.068809
CUS-00000225,Robert Kim,Robert,Kim,robert.kim483@gmail.com,14806497940,"",53,1973-02-11,9473 Elm Blvd,Chicago,IL,60601,USA,Gold,38422.28,2019-05-17,2020-05-27,true,true,true,true,false,es,CAD,partner,180,2022.23,2019-05-17,2020-07-30,customers.json,2026-02-10T22:25:28.068809
CUS-00000775,Hans Johnson,Hans,Johnson,,9301614603,"",29,1997-02-05,3669 Elm Dr,Sydney,NSW,2000,Australia,SILVER,9079.14,2020-05-05,2022-05-04,false,false,,true,false,zh,EUR,social_media,81,324.25,2020-05-05,2020-10-06,customers.json,2026-02-10T22:25:28.068809
CUS-00000706,Carlos Tanaka,Carlos,Tanaka,carlos.tanaka529@mail.com,7235242624,,27,1999-02-05,15 Lake Rd,New York,NY,10001,USA,PLATINUM,28821.38,2022-12-05,2022-11-01,true,true,false,true,false,ja,JPY,referral,113,4117.34,2022-05-12,2023-01-24,customers.json,2026-02-10T22:25:28.068809
CUS-00000393,Susan Dubois,Susan,Dubois,susan.dubois101@outlook.com,7885528877,female,74,1952-02-17,5106 Park Ln,Berlin,,10115,Germany,gold,5216.76,2023-10-04,,true,false,true,true,false,de,USD,mobile_app,98,1043.35,2023-10-04,2024-12-26,customers.json,2026-02-10T22:25:28.068809
CUS-00000477,Yuki Wang,Yuki,Wang,yuki.wang774@outlook.com,UNLISTED,female,57,1969-02-12,2045 Elm Rd,Chicago,IL,60601,USA,Bronze,7034.92,2019-03-10,2019-04-23,false,false,,true,false,en,USD,,104,1004.99,2019-03-10,2019-08-16,customers.json,2026-02-10T22:25:28.068809
CUS-00000981,Barbara Dubois,Barbara,Dubois,barbara.dubois126@outlook.com,3822324784,other,28,1998-02-05,7400 Elm St,Los Angeles,CA,90001,USA,Platinum,33120.34,2022-07-07,,true,true,false,true,true,zh,USD,social_media,17,6624.07,2022-07-07,2023-08-26,customers.json,2026-02-10T22:25:28.068809
CUS-00000669,David Mueller,David,Mueller,david.mueller768@mail.com,19605834428,female,82,1944-02-19,7467 Main Blvd,Chicago,IL,60601,USA,GOLD,33017.35,2022-05-31,,false,true,,false,true,zh,JPY,mobile_app,15,1375.72,2022-05-31,2022-12-14,customers.json,2026-02-10T22:25:28.068809
CUS-00000635,Yuki Dubois,Yuki,Dubois,yuki.dubois823@company.com,7505653008,other,28,1998-02-05,3109 River Ave,Chicago,IL,60601,USA,VIP,40346.23,2024-01-14,,false,true,true,false,false,,AUD,social_media,98,2373.31,2024-01-14,2025-03-21,customers.json,2026-02-10T22:25:28.068809
